Metric,BTC Overall,ETH Overall,BTC Deep Calm,BTC Calm,BTC Turbulent,BTC Stress Turbulent,ETH Deep Calm,ETH Calm,ETH Turbulent,ETH Stress Turbulent
Mean Absolute Return,0.01974900423706198,0.02656868743984963,0.012232315105967232,0.016733202338824183,0.022341209843361073,0.026292147067089714,0.01929885730924726,0.02300235002693109,0.029088495002719893,0.03369874579037304
Volatility (Annualized),0.5459291583106959,0.7224245714213348,0.3316911393927275,0.4380943139370926,0.585996108321806,0.7089883306568151,0.5295931206667583,0.6229982264564801,0.7897096978257432,0.8705251989936436
Max Drawdown,-0.7662925431645935,-0.7930253453633335,-0.32406965459406145,-0.4946192684154711,-0.7463406225439954,-0.7608946536142183,-0.4397059645245205,-0.5502557605889664,-0.7372909205113166,-0.7850811833460756
